time,interest
Jan-1959,5.00
Feb-1959,5.00
Mar-1959,5.00
Apr-1959,5.00
May-1959,5.00
Jun-1959,5.00
Jul-1959,5.00
Aug-1959,5.00
Sep-1959,5.00
Oct-1959,5.00
Nov-1959,5.00
Dec-1959,5.00
Jan-1960,5.00
Feb-1960,5.00
Mar-1960,5.00
Apr-1960,5.00
May-1960,5.00
Jun-1960,5.00
Jul-1960,5.00
Aug-1960,5.00
Sep-1960,5.00
Oct-1960,5.00
Nov-1960,5.00
Dec-1960,5.00
Jan-1961,5.50
Feb-1961,5.50
Mar-1961,5.50
Apr-1961,5.50
May-1961,5.50
Jun-1961,5.50
Jul-1961,5.50
Aug-1961,5.50
Sep-1961,5.50
Oct-1961,5.50
Nov-1961,5.50
Dec-1961,5.50
Jan-1962,5.50
Feb-1962,5.50
Mar-1962,5.50
Apr-1962,5.50
May-1962,5.50
Jun-1962,5.50
Jul-1962,5.50
Aug-1962,5.50
Sep-1962,5.50
Oct-1962,5.50
Nov-1962,5.50
Dec-1962,5.50
Jan-1963,5.50
Feb-1963,5.50
Mar-1963,5.50
Apr-1963,5.00
May-1963,5.00
Jun-1963,5.00
Jul-1963,5.00
Aug-1963,5.00
Sep-1963,5.00
Oct-1963,5.00
Nov-1963,5.00
Dec-1963,5.00
Jan-1964,5.00
Feb-1964,5.00
Mar-1964,5.00
Apr-1964,5.00
May-1964,5.00
Jun-1964,5.13
Jul-1964,5.13
Aug-1964,5.13
Sep-1964,5.13
Oct-1964,5.13
Nov-1964,5.13
Dec-1964,5.13
Jan-1965,5.13
Feb-1965,5.13
Mar-1965,5.13
Apr-1965,5.38
May-1965,5.38
Jun-1965,5.38
Jul-1965,5.38
Aug-1965,5.38
Sep-1965,5.38
Oct-1965,5.38
Nov-1965,5.38
Dec-1965,5.38
Jan-1966,5.38
Feb-1966,5.38
Mar-1966,5.38
Apr-1966,5.38
May-1966,5.38
Jun-1966,5.38
Jul-1966,5.38
Aug-1966,5.38
Sep-1966,5.38
Oct-1966,5.38
Nov-1966,5.38
Dec-1966,5.38
Jan-1967,5.38
Feb-1967,5.38
Mar-1967,5.38
Apr-1967,5.38
May-1967,5.38
Jun-1967,5.38
Jul-1967,5.38
Aug-1967,5.38
Sep-1967,5.38
Oct-1967,5.38
Nov-1967,5.38
Dec-1967,5.38
Jan-1968,5.38
Feb-1968,5.38
Mar-1968,5.38
Apr-1968,5.38
May-1968,5.38
Jun-1968,5.38
Jul-1968,5.38
Aug-1968,5.88
Sep-1968,5.88
Oct-1968,5.88
Nov-1968,5.88
Dec-1968,5.88
Jan-1969,5.88
Feb-1969,5.88
Mar-1969,5.88
Apr-1969,5.88
May-1969,5.88
Jun-1969,5.88
Jul-1969,5.88
Aug-1969,5.88
Sep-1969,5.88
Oct-1969,5.88
Nov-1969,5.88
Dec-1969,5.88
Jan-1970,5.88
Feb-1970,5.88
Mar-1970,5.88
Apr-1970,7.25
May-1970,7.25
Jun-1970,7.25
Jul-1970,7.25
Aug-1970,7.25
Sep-1970,7.25
Oct-1970,7.25
Nov-1970,7.25
Dec-1970,7.25
Jan-1971,7.25
Feb-1971,7.25
Mar-1971,7.25
Apr-1971,7.25
May-1971,7.25
Jun-1971,7.25
Jul-1971,7.25
Aug-1971,7.25
Sep-1971,7.25
Oct-1971,7.25
Nov-1971,7.25
Dec-1971,7.25
Jan-1972,7.25
Feb-1972,7.00
Mar-1972,7.00
Apr-1972,7.00
May-1972,7.00
Jun-1972,7.00
Jul-1972,7.00
Aug-1972,7.00
Sep-1972,7.00
Oct-1972,7.00
Nov-1972,7.00
Dec-1972,7.00
Jan-1973,7.00
Feb-1973,7.00
Mar-1973,7.00
Apr-1973,7.00
May-1973,7.00
Jun-1973,7.00
Jul-1973,7.00
Aug-1973,7.00
Sep-1973,7.00
Oct-1973,8.38
Nov-1973,8.38
Dec-1973,8.38
Jan-1974,8.38
Feb-1974,8.38
Mar-1974,8.38
Apr-1974,8.38
May-1974,8.38
Jun-1974,8.38
Jul-1974,10.38
Aug-1974,10.38
Sep-1974,10.38
Oct-1974,10.38
Nov-1974,10.38
Dec-1974,10.38
Jan-1975,10.38
Feb-1975,10.38
Mar-1975,10.38
Apr-1975,10.13
May-1975,10.13
Jun-1975,10.13
Jul-1975,10.13
Aug-1975,10.13
Sep-1975,10.38
Oct-1975,10.38
Nov-1975,10.38
Dec-1975,10.38
